url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/009/ERR1050079/ERR1050079_1.fastq.gz	7b06b803385bd4d2c41c4263158d6ee7	The Human Genome Structural Variation Consortium	sequence	Strand specific RNA-seq	HG00731	PUR	https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/001/ERR1050081/ERR1050081_1.fastq.gz	ce8f0f2f8bf81dd794c58a1bab28a380	The Human Genome Structural Variation Consortium	sequence	Strand specific RNA-seq	HG00733	PUR	https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/003/ERR1050073/ERR1050073_1.fastq.gz	dd6dcd6a78dd366197cde61b123d5d3b	The Human Genome Structural Variation Consortium	sequence	Strand specific RNA-seq	NA19238	YRI	https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/007/ERR1050077/ERR1050077_1.fastq.gz	e6ef9f459a755e65cdb1a485504ec26a	The Human Genome Structural Variation Consortium	sequence	Strand specific RNA-seq	HG00513	CHS	https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/009/ERR1050079/ERR1050079_2.fastq.gz	852bc6160991635edfb4bc07efb871fc	The Human Genome Structural Variation Consortium	sequence	Strand specific RNA-seq	HG00731	PUR	https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/006/ERR1050076/ERR1050076_2.fastq.gz	f0df087bba3429ff50b6ab038b03a326	The Human Genome Structural Variation Consortium	sequence	Strand specific RNA-seq	HG00512	CHS	https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/003/ERR1050073/ERR1050073_2.fastq.gz	21b034358c2a0eec603a5b3d3e6b4416	The Human Genome Structural Variation Consortium	sequence	Strand specific RNA-seq	NA19238	YRI	https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/000/ERR1050080/ERR1050080_2.fastq.gz	e59cb9f3a6bf62b249e71f3bd7c0c7ea	The Human Genome Structural Variation Consortium	sequence	Strand specific RNA-seq	HG00732	PUR	https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/006/ERR1050076/ERR1050076_1.fastq.gz	04f9f2ce30dc17c79245637e9baeee7b	The Human Genome Structural Variation Consortium	sequence	Strand specific RNA-seq	HG00512	CHS	https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/007/ERR1050077/ERR1050077_2.fastq.gz	681cd84f0993c16c61230e9b765dfe9a	The Human Genome Structural Variation Consortium	sequence	Strand specific RNA-seq	HG00513	CHS	https://github.com/igsr/1000Genomes_data_indexes/blob/master/data_collections/hgsv_sv_discovery/README_hgsvc_datareuse_statement.md
